id,purpose,freq_as0,freq_as1,freq_as2,freq_all
1,Total,26153.0,368704.0,4626358.0,5021214.0
1,atwork,2172.0,33653.0,318212.0,354037.0
1,idisc,7599.0,56396.0,969142.0,1033136.0
1,imain,9193.0,95417.0,1422077.0,1526686.0
1,jdisc,0.0,0.0,0.0,0.0
1,jmain,0.0,0.0,0.0,0.0
1,sch,0.0,5027.0,36186.0,41213.0
1,univ,0.0,6242.0,87718.0,93960.0
1,work,7189.0,171970.0,1793023.0,1972182.0
2,Total,45701.0,297316.0,2392675.0,2735691.0
2,atwork,1056.0,5405.0,42812.0,49272.0
2,idisc,12733.0,48457.0,405284.0,466474.0
2,imain,25077.0,85916.0,933642.0,1044635.0
2,jdisc,0.0,21594.0,201455.0,223049.0
2,jmain,0.0,25295.0,219809.0,245105.0
2,sch,357.0,17653.0,166407.0,184416.0
2,univ,394.0,4309.0,29734.0,34437.0
2,work,6084.0,88688.0,393532.0,488304.0
3,Total,47415.0,221931.0,1795174.0,2064521.0
3,atwork,143.0,8178.0,19087.0,27408.0
3,idisc,13030.0,40182.0,366476.0,419688.0
3,imain,24568.0,90144.0,694283.0,808995.0
3,jdisc,1313.0,4665.0,98282.0,104259.0
3,jmain,0.0,3495.0,85378.0,88873.0
3,sch,4482.0,33781.0,345308.0,383571.0
3,univ,1253.0,1007.0,9844.0,12105.0
3,work,2625.0,40481.0,176517.0,219623.0
4,Total,248935.0,190574.0,793075.0,1232583.0
4,atwork,26785.0,34355.0,89651.0,150791.0
4,idisc,83404.0,57861.0,275705.0,416970.0
4,imain,89810.0,45624.0,248279.0,383712.0
4,jdisc,3118.0,4871.0,16420.0,24409.0
4,jmain,4753.0,3398.0,7992.0,16143.0
4,sch,10172.0,22692.0,118627.0,151491.0
4,univ,6155.0,2806.0,16245.0,25206.0
4,work,24737.0,18968.0,20156.0,63860.0
5,Total,36352.0,36753.0,85751.0,158856.0
5,atwork,1495.0,1505.0,2830.0,5830.0
5,idisc,9529.0,11463.0,28482.0,49474.0
5,imain,10754.0,9052.0,24706.0,44513.0
5,jdisc,166.0,0.0,1501.0,1667.0
5,jmain,87.0,201.0,947.0,1235.0
5,sch,3399.0,1713.0,10531.0,15644.0
5,univ,779.0,219.0,1240.0,2238.0
5,work,10144.0,12599.0,15513.0,38256.0
6,Total,168669.0,118564.0,181428.0,468661.0
6,atwork,3660.0,2397.0,5050.0,11107.0
6,idisc,16325.0,8866.0,15668.0,40859.0
6,imain,32656.0,10011.0,21656.0,64323.0
6,jdisc,1495.0,1657.0,1708.0,4860.0
6,jmain,1856.0,1206.0,1770.0,4831.0
6,sch,3799.0,6088.0,11529.0,21416.0
6,univ,14144.0,7577.0,13762.0,35483.0
6,work,94734.0,80763.0,110285.0,285782.0
7,Total,2168.0,8631.0,86591.0,97390.0
7,atwork,58.0,310.0,2203.0,2571.0
7,idisc,21.0,163.0,1374.0,1558.0
7,imain,297.0,191.0,2221.0,2709.0
7,jdisc,0.0,6.0,171.0,177.0
7,jmain,1.0,6.0,91.0,98.0
7,sch,3.0,44.0,461.0,508.0
7,univ,71.0,326.0,2115.0,2512.0
7,work,1717.0,7584.0,77955.0,87257.0
8,Total,6069.0,11236.0,29418.0,46723.0
8,atwork,104.0,255.0,652.0,1010.0
8,idisc,696.0,813.0,793.0,2302.0
8,imain,787.0,592.0,2183.0,3562.0
8,jdisc,111.0,124.0,198.0,433.0
8,jmain,39.0,95.0,225.0,359.0
8,sch,117.0,618.0,2209.0,2944.0
8,univ,432.0,668.0,1794.0,2894.0
8,work,3783.0,8072.0,21365.0,33219.0
9,Total,2178.0,1554.0,3975.0,7707.0
9,atwork,51.0,109.0,171.0,331.0
9,idisc,208.0,158.0,289.0,656.0
9,imain,399.0,182.0,500.0,1081.0
9,jdisc,25.0,32.0,72.0,129.0
9,jmain,25.0,16.0,21.0,62.0
9,sch,38.0,6.0,128.0,171.0
9,univ,119.0,40.0,235.0,394.0
9,work,1314.0,1010.0,2559.0,4883.0
10,Total,15083.0,51056.0,363663.0,429802.0
10,atwork,0.0,0.0,0.0,0.0
10,idisc,0.0,0.0,0.0,0.0
10,imain,0.0,0.0,0.0,0.0
10,jdisc,0.0,0.0,0.0,0.0
10,jmain,0.0,0.0,0.0,0.0
10,sch,15083.0,51056.0,363663.0,429802.0
10,univ,0.0,0.0,0.0,0.0
10,work,0.0,0.0,0.0,0.0
11,Total,15673.333333333334,11426.666666666666,30003.333333333332,57103.333333333336
11,atwork,188.66666666666666,1055.0,845.6666666666666,2089.3333333333335
11,idisc,3398.0,2109.6666666666665,10931.0,16438.0
11,imain,6962.333333333333,3614.3333333333335,11108.666666666666,21685.333333333332
11,jdisc,511.6666666666667,395.0,981.6666666666666,1888.3333333333333
11,jmain,0.0,0.0,218.33333333333334,218.33333333333334
11,sch,39.666666666666664,554.3333333333334,1436.0,2030.0
11,univ,343.0,106.0,392.0,841.0
11,work,4230.666666666667,3592.0,4090.3333333333335,11912.666666666666
